time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
2.13280000e-04,3.83904000e-01,5.56205534e-12,2.42613186e-09,2.42834599e-09,3.34792822e-12
2.14280000e-04,3.85704000e-01,5.58559725e-12,2.54939723e-09,2.55158341e-09,3.39941295e-12
2.15280000e-04,3.87504000e-01,5.60942704e-12,2.67870355e-09,2.68085910e-09,3.45387396e-12
2.16280000e-04,3.89304000e-01,5.63336353e-12,2.81433128e-09,2.81645344e-09,3.51121043e-12
2.17280000e-04,3.91104000e-01,5.65758295e-12,2.95657289e-09,2.95865868e-09,3.57179294e-12
2.18280000e-04,3.92904000e-01,5.68190399e-12,3.10573321e-09,3.10777958e-09,3.63553197e-12
2.19280000e-04,3.94704000e-01,5.70650274e-12,3.26212999e-09,3.26413368e-09,3.70280977e-12
2.20280000e-04,3.96504000e-01,5.73119773e-12,3.42609430e-09,3.42805194e-09,3.77354891e-12
2.21280000e-04,3.98304000e-01,5.75616489e-12,3.59797105e-09,3.59987907e-09,3.84814415e-12
2.22280000e-04,4.00104000e-01,5.78122263e-12,3.77811947e-09,3.77997416e-09,3.92653102e-12
2.23280000e-04,4.01904000e-01,5.80654674e-12,3.96691365e-09,3.96871108e-09,4.00911767e-12
2.24280000e-04,4.03704000e-01,5.83195549e-12,4.16474299e-09,4.16647910e-09,4.09585346e-12
2.25280000e-04,4.05504000e-01,5.85762454e-12,4.37201287e-09,4.37368333e-09,4.18716084e-12
2.26280000e-04,4.07304000e-01,5.88337202e-12,4.58914503e-09,4.59074540e-09,4.28300394e-12
2.27280000e-04,4.09104000e-01,5.90937346e-12,4.81657833e-09,4.81810388e-09,4.38382047e-12
2.28280000e-04,4.10904000e-01,5.93544687e-12,5.05476915e-09,5.05621500e-09,4.48959028e-12
2.29280000e-04,4.12704000e-01,5.96176766e-12,5.30419213e-09,5.30555313e-09,4.60076734e-12
2.30280000e-04,4.14504000e-01,5.98815371e-12,5.56534069e-09,5.56661150e-09,4.71734824e-12
2.31280000e-04,4.16304000e-01,6.01478033e-12,5.83872773e-09,5.83990270e-09,4.83980420e-12
2.32280000e-04,4.18104000e-01,6.04146528e-12,6.12488617e-09,6.12595949e-09,4.96814962e-12
2.33280000e-04,4.19904000e-01,6.06838375e-12,6.42436975e-09,6.42533526e-09,5.10287404e-12
2.34280000e-04,4.21704000e-01,6.09535341e-12,6.73775355e-09,6.73860490e-09,5.24401074e-12
2.35280000e-04,4.23504000e-01,6.12254934e-12,7.06563484e-09,7.06636532e-09,5.39206867e-12
2.36280000e-04,4.25304000e-01,6.14978911e-12,7.40863364e-09,7.40923633e-09,5.54710111e-12
2.37280000e-04,4.27104000e-01,6.17724771e-12,7.76739355e-09,7.76786116e-09,5.70963756e-12
2.38280000e-04,4.28904000e-01,6.20474261e-12,8.14258243e-09,8.14290742e-09,5.87975242e-12
2.39280000e-04,4.30704000e-01,6.23244873e-12,8.53489321e-09,8.53506766e-09,6.05799693e-12
2.40280000e-04,4.32504000e-01,6.26018345e-12,8.94504461e-09,8.94506032e-09,6.24446778e-12
2.41280000e-04,4.34304000e-01,6.28812160e-12,9.37378199e-09,9.37363037e-09,6.43973912e-12
2.42280000e-04,4.36104000e-01,6.31608050e-12,9.82187811e-09,9.82155026e-09,6.64393117e-12
2.43280000e-04,4.37904000e-01,6.34423490e-12,1.02901340e-08,1.02896206e-08,6.85764218e-12
2.44280000e-04,4.39704000e-01,6.37240205e-12,1.07793799e-08,1.07786713e-08,7.08101711e-12
